Primary File,Carbon Area [mV.s],Carbon Weight [mg],Carbon Weight [µg]
002,2706.5874,0.39156889047155685,391.56889047155687
003,1409.3142,0.20375840982823207,203.75840982823206
004,6444.3133,0.9326916838754472,932.6916838754472
005,3270.2968,0.47317894250775117,473.1789425077512
015,53.0818,0.00741221312267308,7.41221312267308
016,37.5432,0.005162639220641984,5.162639220641984
017,529.9675,0.07645251437065106,76.45251437065106
018,142.4251,0.02034673463692371,20.34673463692371
019,2300.6468,0.3327995431986465,332.7995431986465
020,374.2347,0.05390656798100024,53.906567981000244
021,110.6932,0.01575280377430671,15.752803774306708
022,50.0997,0.0069804847601921014,6.980484760192102
025,251.7402,0.036172638904870595,36.172638904870595
026,67.5774,0.009510788506187808,9.510788506187808
028,58.6003,0.008211144402090698,8.211144402090698
029,759.8199,0.10972899747461233,109.72899747461233
030,610.2736,0.08807869090739823,88.07869090739823
031,188.8282,0.02706466306891496,27.06466306891496
032,173.0249,0.024776767682846198,24.7767676828462
033,97.4377,0.013833761720429707,13.833761720429708
034,152.7314,0.021838811368836697,21.838811368836698
035,60.161,0.008437092041446879,8.43709204144688
036,121.2656,0.017283404672832545,17.283404672832546
037,92.5739,0.013129613499566897,13.129613499566897
038,37.1678,0.005108291335837531,5.108291335837531
039,111.8195,0.01591586190604687,15.91586190604687
